Distribution,Size,AverageTime,AverageComparisons,AverageDepth,SuccessfulTrials
uniform,100,0.00013002000050619245,622.2,11.6,5
uniform,500,0.0008904199989046901,5118.2,18.2,5
uniform,1000,0.002262079999491107,11293.2,21.8,5
uniform,2500,0.006048260000534355,31459.0,24.2,5
uniform,5000,0.01225076000118861,71653.6,27.0,5
normal,100,0.00011507999952300451,644.2,12.4,5
normal,500,0.0006432999987737275,4802.6,18.0,5
normal,1000,0.001493980000668671,11027.6,20.6,5
normal,2500,0.004895460000261665,31938.4,24.8,5
normal,5000,0.012790240001049825,72240.8,28.6,5
exponential,100,0.00013904000079492106,654.4,12.8,5
exponential,500,0.0008804000011878088,4696.6,19.0,5
exponential,1000,0.0015987799997674301,10619.8,20.2,5
exponential,2500,0.004519719999370864,32310.4,24.2,5
exponential,5000,0.012314500000502448,72210.6,28.8,5
sorted,100,0.0007036800008791034,4177.8,82.8,5
sorted,500,0.011516779999510618,68369.6,273.8,5
sorted,1000,0.030116500000440284,196074.4,397.8,5
sorted,2500,0.12617802000022493,770566.0,618.0,5
sorted,5000,0.3550917400003527,2228792.8,890.4,5
