Distribution,Size,AverageTime,AverageComparisons
uniform,100,0.00013469,686.20000000
uniform,500,0.00084616,4757.20000000
uniform,1000,0.00270728,10804.20000000
uniform,2500,0.00556002,32932.70000000
uniform,5000,0.01044484,72215.60000000
normal,100,0.00011719,635.20000000
normal,500,0.00068945,4895.50000000
normal,1000,0.00158848,10841.90000000
normal,2500,0.00531496,32027.20000000
normal,5000,0.00992418,70288.70000000
exponential,100,0.00010198,630.20000000
exponential,500,0.00068773,4881.10000000
exponential,1000,0.00154982,11255.10000000
exponential,2500,0.00572589,31836.80000000
exponential,5000,0.01015988,69518.90000000
sorted,100,0.00065592,4200.10000000
sorted,500,0.01397598,69492.50000000
sorted,1000,0.03496427,199241.10000000
sorted,2500,0.12941657,787014.90000000
sorted,5000,0.36510384,2225437.10000000
